Time(ps);Dl = 0;Dl = 1;Dl = 2;Dl = 3;Dl = 4;Dl = 5;Dl = 6;Dl = 7;Dl = 8;Dl = 9;Dl = 10;Dl = 11;Dl = 12;Dl = 13;Dl = 14;Dl = 15;Dl = 16;Dl = 17;Dl = 18;Dl = 19;Dl = 20;Dl = 21;Dl = 22;Dl = 23;Dl = 24;Dl = 25;Dl = 26;Dl = 27;Dl = 28
0;1.15924E-10;9.66749E-11;6.24024E-11;3.68001E-11;2.34493E-11;1.59349E-11;1.14409E-11;8.57998E-12;6.65918E-12;5.31212E-12;4.33304E-12;3.56285E-12;3.00869E-12;2.57392E-12;2.22668E-12;1.93017E-12;1.71352E-12;1.51061E-12;1.35028E-12;1.21414E-12;1.09757E-12;9.97002E-13;9.09633E-13;8.29065E-13;7.62408E-13;7.03473E-13;6.51114E-13;6.04389E-13;5.62518E-13
0.097656;1.21944E-10;1.01634E-10;6.55209E-11;3.85979E-11;2.4581E-11;1.66987E-11;1.19872E-11;8.98862E-12;6.97583E-12;5.56443E-12;4.53868E-12;3.73183E-12;3.15132E-12;2.69589E-12;2.33217E-12;2.02159E-12;1.79467E-12;1.58213E-12;1.4142E-12;1.27161E-12;1.14952E-12;1.04419E-12;9.52682E-13;8.68299E-13;7.98485E-13;7.3676E-13;6.81922E-13;6.32985E-13;5.89132E-13
0.195312;1.28263E-10;1.06835E-10;6.8787E-11;4.04786E-11;2.57641E-11;1.7497E-11;1.2558E-11;9.41559E-12;7.30665E-12;5.82801E-12;4.7535E-12;3.90835E-12;3.30031E-12;2.82331E-12;2.44237E-12;2.11709E-12;1.87943E-12;1.65684E-12;1.48097E-12;1.33165E-12;1.20379E-12;1.09348E-12;9.97647E-13;9.09278E-13;8.36167E-13;7.71528E-13;7.14101E-13;6.62853E-13;6.1693E-13
0.292968;1.34894E-10;1.12289E-10;7.22072E-11;4.24457E-11;2.70008E-11;1.83312E-11;1.31543E-11;9.86163E-12;7.65222E-12;6.10334E-12;4.97789E-12;4.09272E-12;3.45593E-12;2.95639E-12;2.55746E-12;2.21682E-12;1.96795E-12;1.73487E-12;1.55071E-12;1.39435E-12;1.26046E-12;1.14495E-12;1.04461E-12;9.52077E-13;8.75522E-13;8.07839E-13;7.47708E-13;6.94047E-13;6.45962E-13
0.390624;1.41851E-10;1.18008E-10;7.57883E-11;4.4503E-11;2.82934E-11;1.92028E-11;1.37773E-11;1.03275E-11;8.01317E-12;6.3909E-12;5.21223E-12;4.28527E-12;3.61844E-12;3.09536E-12;2.67764E-12;2.32098E-12;2.0604E-12;1.81636E-12;1.62354E-12;1.45982E-12;1.31964E-12;1.19871E-12;1.09365E-12;9.96769E-13;9.16619E-13;8.45757E-13;7.82802E-13;7.26622E-13;6.76278E-13
0.48828;1.49151E-10;1.24004E-10;7.95375E-11;4.66542E-11;2.96442E-11;2.01134E-11;1.44281E-11;1.08142E-11;8.39012E-12;6.6912E-12;5.45695E-12;4.48634E-12;3.78815E-12;3.24048E-12;2.80314E-12;2.42973E-12;2.15693E-12;1.90144E-12;1.69957E-12;1.52818E-12;1.38144E-12;1.25483E-12;1.14485E-12;1.04343E-12;9.59529E-13;8.85347E-13;8.19444E-13;7.60633E-13;7.07932E-13
0.585936;1.56808E-10;1.30289E-10;8.3462E-11;4.89035E-11;3.10557E-11;2.10646E-11;1.51078E-11;1.13223E-11;8.78373E-12;7.00476E-12;5.71246E-12;4.69627E-12;3.96532E-12;3.39199E-12;2.93417E-12;2.54328E-12;2.25771E-12;1.99026E-12;1.77896E-12;1.59956E-12;1.44595E-12;1.31343E-12;1.19831E-12;1.09215E-12;1.00433E-12;9.26679E-13;8.57698E-13;7.9614E-13;7.40977E-13
0.683592;1.6484E-10;1.36877E-10;8.75696E-11;5.12548E-11;3.25305E-11;2.20581E-11;1.58175E-11;1.18529E-11;9.1947E-12;7.33212E-12;5.97921E-12;4.91543E-12;4.15029E-12;3.55015E-12;3.07094E-12;2.6618E-12;2.36291E-12;2.08299E-12;1.86183E-12;1.67406E-12;1.51329E-12;1.37459E-12;1.25411E-12;1.143E-12;1.05109E-12;9.69824E-13;8.97629E-13;8.33203E-13;7.75472E-13
0.781248;1.73264E-10;1.43781E-10;9.18683E-11;5.37127E-11;3.40711E-11;2.30957E-11;1.65586E-11;1.24069E-11;9.62373E-12;7.67385E-12;6.25766E-12;5.14419E-12;4.34335E-12;3.71524E-12;3.21371E-12;2.78552E-12;2.47271E-12;2.17976E-12;1.94832E-12;1.75182E-12;1.58358E-12;1.43843E-12;1.31235E-12;1.19608E-12;1.09989E-12;1.01485E-12;9.39305E-13;8.71887E-13;8.11474E-13
0.878904;1.82098E-10;1.51016E-10;9.63663E-11;5.62815E-11;3.56803E-11;2.41791E-11;1.73323E-11;1.29852E-11;1.00715E-11;8.03054E-12;6.54828E-12;5.38295E-12;4.54485E-12;3.88754E-12;3.36271E-12;2.91463E-12;2.5873E-12;2.28077E-12;2.03859E-12;1.83297E-12;1.65693E-12;1.50505E-12;1.37312E-12;1.25147E-12;1.15083E-12;1.06185E-12;9.82798E-13;9.12257E-13;8.49046E-13
